User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 20:39:47 GMT-0400 (hora de Venezuela) | Data: {"id":"7699cdff-8a1c-42b0-8ff0-b277cf1fcc70"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 20:40:29 GMT-0400 (hora de Venezuela) | Data: {"id":"7dd5bdae-1e8d-4510-b93f-8e0c070a78fa"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:06:46 GMT-0400 (hora de Venezuela) | Data: {"id":"c8a48da9-df17-4898-918d-28d35e690ab2"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:08:15 GMT-0400 (hora de Venezuela) | Data: {"id":"b7a10faf-e9e5-4b99-836d-0a6b4d0e948e"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:10:32 GMT-0400 (hora de Venezuela) | Data: {"id":"7018c147-50af-4d6a-b74b-47e6f8243501"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:12:59 GMT-0400 (hora de Venezuela) | Data: {"id":"d88e24ec-17d9-4c13-a75a-c2d0746ae69a"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:16:21 GMT-0400 (hora de Venezuela) | Data: {"id":"c1bd5519-b5ef-4266-b092-615185f09e1c"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:21:04 GMT-0400 (hora de Venezuela) | Data: {"id":"aa6d7c56-99af-4ee9-a20e-06f436f0b2bd"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:25:05 GMT-0400 (hora de Venezuela) | Data: {"id":"89477377-1f23-46f6-b7c0-46069522376e"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:30:27 GMT-0400 (hora de Venezuela) | Data: {"id":"63b8094d-7a70-4508-9d8d-ea18e246b310"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:33:37 GMT-0400 (hora de Venezuela) | Data: {"id":"6f8d4e74-3778-4df7-ab97-7ad07d7deca9"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:35:48 GMT-0400 (hora de Venezuela) | Data: {"id":"ece8cbdd-f8ea-496f-9ba1-5c3df03ed7f8"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:37:20 GMT-0400 (hora de Venezuela) | Data: {"id":"36d6d331-1d9c-435a-a37a-6c0a9e503ab2"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:39:04 GMT-0400 (hora de Venezuela) | Data: {"id":"6449fc2f-fc21-4459-98d0-84d0c9f082d5"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:39:40 GMT-0400 (hora de Venezuela) | Data: {"id":"b61b99ad-7fec-4aa6-bd32-1e25d7a7af24"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 21:42:24 GMT-0400 (hora de Venezuela) | Data: {"id":"c38520d1-3183-4c5c-ab72-4a23bad1aed7"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 22:10:05 GMT-0400 (hora de Venezuela) | Data: {"id":"e5929d74-3fc9-46af-b9c6-62167aaecd3d"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: false | Date: Sun Jun 23 2024 22:11:37 GMT-0400 (hora de Venezuela) | Data: undefined
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: false | Date: Sun Jun 23 2024 22:31:59 GMT-0400 (hora de Venezuela) | Data: undefined
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 22:42:06 GMT-0400 (hora de Venezuela) | Data: {"id":"e306893f-27ff-47b6-89f0-a5dc3b3b593f"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 22:52:00 GMT-0400 (hora de Venezuela) | Data: {"id":"7f66c8c2-74c1-41c6-9374-32c0d82a561e"}
User: acb99d14-ff7c-429b-961c-572b9d0d0cc3 | Operation: Create Trainer | Succes: true | Date: Sun Jun 23 2024 23:22:55 GMT-0400 (hora de Venezuela) | Data: {"id":"f6c1bb20-4891-4193-bdd6-476a81bc2a07"}
